id,name,url
7,Virtual Assistants,https://gptstore.ai/gpts/categories/virtual-assistants
35,Coding Help,https://gptstore.ai/gpts/categories/coding-help
4,Image Generation,https://gptstore.ai/gpts/categories/image-generation
41,Robotics,https://gptstore.ai/gpts/categories/robotics
5,Creative Writing,https://gptstore.ai/gpts/categories/creative-writing
34,ChatBots,https://gptstore.ai/gpts/categories/chatbots
14,Tech Support,https://gptstore.ai/gpts/categories/tech-support
37,Virtual Reality,https://gptstore.ai/gpts/categories/virtual-reality
36,SEO,https://gptstore.ai/gpts/categories/seo
27,Fitness Coaching,https://gptstore.ai/gpts/categories/fitness-coaching
50,Personalized Learning,https://gptstore.ai/gpts/categories/personalized-learning
3,Fun,https://gptstore.ai/gpts/categories/fun
11,Research,https://gptstore.ai/gpts/categories/research
17,Marketing,https://gptstore.ai/gpts/categories/marketing
38,Augmented Reality,https://gptstore.ai/gpts/categories/augmented-reality
9,Translation,https://gptstore.ai/gpts/categories/translation
29,E-learning,https://gptstore.ai/gpts/categories/e-learning
12,Medical Advice,https://gptstore.ai/gpts/categories/medical-advice
10,Data Analysis,https://gptstore.ai/gpts/categories/data-analysis
13,Legal Drafting,https://gptstore.ai/gpts/categories/legal-drafting
23,Video Creation,https://gptstore.ai/gpts/categories/video-creation
22,Scriptwriting,https://gptstore.ai/gpts/categories/scriptwriting
33,Speech Recognition,https://gptstore.ai/gpts/categories/speech-recognition
47,Strategy Planning,https://gptstore.ai/gpts/categories/strategy-planning
31,Sentiment Analysis,https://gptstore.ai/gpts/categories/sentiment-analysis
6,Poetry,https://gptstore.ai/gpts/categories/poetry
45,Job Analysis,https://gptstore.ai/gpts/categories/job-analysis
16,Social Media,https://gptstore.ai/gpts/categories/social-media
20,E-commerce,https://gptstore.ai/gpts/categories/e-commerce
2,Education,https://gptstore.ai/gpts/categories/education
15,News Writing,https://gptstore.ai/gpts/categories/news-writing
1,Productivity,https://gptstore.ai/gpts/categories/productivity
42,Autonomous Driving,https://gptstore.ai/gpts/categories/autonomous-driving
40,Science Design,https://gptstore.ai/gpts/categories/science-design
21,Gaming,https://gptstore.ai/gpts/categories/gaming
26,Mental Health,https://gptstore.ai/gpts/categories/mental-health
28,Nutrition,https://gptstore.ai/gpts/categories/nutrition
18,Finance,https://gptstore.ai/gpts/categories/finance
30,Summarization,https://gptstore.ai/gpts/categories/summarization
46,Competitor Analysis,https://gptstore.ai/gpts/categories/competitor-analysis
24,Music,https://gptstore.ai/gpts/categories/music
8,Customer Service,https://gptstore.ai/gpts/categories/customer-service
39,Data Modeling,https://gptstore.ai/gpts/categories/data-modeling
19,Real Estate,https://gptstore.ai/gpts/categories/real-estate
44,HR Management,https://gptstore.ai/gpts/categories/hr-management
48,Environmental Assessment,https://gptstore.ai/gpts/categories/environmental-assessment
43,Supply Chain,https://gptstore.ai/gpts/categories/supply-chain
25,Audio Processing,https://gptstore.ai/gpts/categories/audio-processing
32,Text to Speech,https://gptstore.ai/gpts/categories/text-to-speech
49,Art and Design,https://gptstore.ai/gpts/categories/art-and-design
